 row_number | game_match_uuid |         player_1_fingerprint         | player_1_action | player_1_score |         player_2_fingerprint         | player_2_action | player_2_score | player_1_cooperation_percent | player_2_cooperation_percent | avg_cooperation_percent | player_1_cumulative_score | player_2_cumulative_score | player_1_country | player_1_city | player_2_country | player_2_city |   round_start    |    round_end     | match_complete | match_completed_at 
          3 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |             20 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |             20 |                         0.67 |                         0.67 |                    0.67 |                        50 |                        50 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:04 | 2025-06-03 15:04 | t              | 2025-06-03 15:06
          4 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |              0 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             30 |                         0.75 |                          0.5 |                    0.62 |                        50 |                        80 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:04 | 2025-06-03 15:04 | t              | 2025-06-03 15:06
          5 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             30 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |              0 |                          0.6 |                          0.6 |                     0.6 |                        80 |                        80 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:04 | 2025-06-03 15:04 | t              | 2025-06-03 15:06
          6 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             30 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |              0 |                          0.5 |                         0.67 |                    0.58 |                       110 |                        80 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:04 | 2025-06-03 15:04 | t              | 2025-06-03 15:06
          7 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |              0 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             30 |                         0.57 |                         0.57 |                    0.57 |                       110 |                       110 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:04 | 2025-06-03 15:05 | t              | 2025-06-03 15:06
          8 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             30 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |              0 |                          0.5 |                         0.62 |                    0.56 |                       140 |                       110 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:05 | 2025-06-03 15:05 | t              | 2025-06-03 15:06
          9 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |              0 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             30 |                         0.56 |                         0.56 |                    0.56 |                       140 |                       140 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:05 | 2025-06-03 15:05 | t              | 2025-06-03 15:06
         10 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             10 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             10 |                          0.5 |                          0.5 |                     0.5 |                       150 |                       150 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:05 | 2025-06-03 15:05 | t              | 2025-06-03 15:06
         11 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |             20 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |             20 |                         0.55 |                         0.55 |                    0.55 |                       170 |                       170 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:05 | 2025-06-03 15:05 | t              | 2025-06-03 15:06
         12 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             10 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             10 |                          0.5 |                          0.5 |                     0.5 |                       180 |                       180 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:05 | 2025-06-03 15:05 | t              | 2025-06-03 15:06
         13 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |             20 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |             20 |                         0.54 |                         0.54 |                    0.54 |                       200 |                       200 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:05 | 2025-06-03 15:05 | t              | 2025-06-03 15:06
         14 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             10 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             10 |                          0.5 |                          0.5 |                     0.5 |                       210 |                       210 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:05 | 2025-06-03 15:05 | t              | 2025-06-03 15:06
